,name,rank,lp,date
0,Galy,0,2189.0,"12-02-2024, 10h"
1,AJTehPro,1,2002.0,"12-02-2024, 10h"
2,basalist,2,1707.0,"12-02-2024, 10h"
3,bob141,3,1556.0,"12-02-2024, 10h"
4,CKG WeavingPoem,4,1405.0,"12-02-2024, 10h"
5,Xemacs,5,1274.0,"12-02-2024, 10h"
6,Skysong,6,1251.0,"12-02-2024, 10h"
7,iakgnoh,7,1171.0,"12-02-2024, 10h"
8,caf,8,1169.0,"12-02-2024, 10h"
9,Great Assassin91,9,1104.0,"12-02-2024, 10h"
10,Seku,10,1090.0,"12-02-2024, 10h"
11,Naś,11,1088.0,"12-02-2024, 10h"
12,Leibnitz,12,1049.0,"12-02-2024, 10h"
13,KidWithThePig,13,1029.0,"12-02-2024, 10h"
14,Aikado,14,1017.0,"12-02-2024, 10h"
15,ANG3L,15,1006.0,"12-02-2024, 10h"
16,NNT Elder Senior,16,1001.0,"12-02-2024, 10h"
17,FloppyMudkip,17,1001.0,"12-02-2024, 10h"
18,wolfoxcsNA,18,1000.0,"12-02-2024, 10h"
19,HeartlessSora,19,967.0,"12-02-2024, 10h"
20,Davebo,20,944.0,"12-02-2024, 10h"
21,samsans,21,942.0,"12-02-2024, 10h"
22,Strongclaws,22,938.0,"12-02-2024, 10h"
23,Stromboli Prince,23,934.0,"12-02-2024, 10h"
24,Hawk362,24,923.0,"12-02-2024, 10h"
25,O Miyamoto,25,908.0,"12-02-2024, 10h"
26,ptash,26,907.0,"12-02-2024, 10h"
27,NinjaDuelist429,27,903.0,"12-02-2024, 10h"
28,Twinbo IV,28,899.0,"12-02-2024, 10h"
29,MeMaanhc,29,872.0,"12-02-2024, 10h"
30,vivo,30,869.0,"12-02-2024, 10h"
31,Drisoth,31,859.0,"12-02-2024, 10h"
32,NNT Space,32,850.0,"12-02-2024, 10h"
33,MaykaS,33,850.0,"12-02-2024, 10h"
34,Sugoi,34,826.0,"12-02-2024, 10h"
35,Pineapple P4G,35,824.0,"12-02-2024, 10h"
36,NNT JoJo,36,811.0,"12-02-2024, 10h"
37,Xampignon,37,811.0,"12-02-2024, 10h"
38,HighInOrbit,38,807.0,"12-02-2024, 10h"
39,LTS Reagan,39,805.0,"12-02-2024, 10h"
40,SilkyJohnson LoR,40,801.0,"12-02-2024, 10h"
41,Metal,41,800.0,"12-02-2024, 10h"
42,GreenLemon,42,796.0,"12-02-2024, 10h"
43,hh1hh,43,796.0,"12-02-2024, 10h"
44,HANIISM,44,778.0,"12-02-2024, 10h"
45,Snugguls,45,767.0,"12-02-2024, 10h"
46,Mamma Zeuss,46,766.0,"12-02-2024, 10h"
47,OrsonScott,47,763.0,"12-02-2024, 10h"
48,fitze,48,759.0,"12-02-2024, 10h"
49,Nietzsche,49,758.0,"12-02-2024, 10h"
50,Nen,50,753.0,"12-02-2024, 10h"
51,xBrando,51,748.0,"12-02-2024, 10h"
52,印度王子,52,747.0,"12-02-2024, 10h"
53,SonichuChris,53,737.0,"12-02-2024, 10h"
54,Lumus11,54,731.0,"12-02-2024, 10h"
55,gksdac,55,731.0,"12-02-2024, 10h"
56,KICK BACK,56,730.0,"12-02-2024, 10h"
57,Iron4Ezreal,57,720.0,"12-02-2024, 10h"
58,bobster4l1fe,58,711.0,"12-02-2024, 10h"
59,LuciaDysis,59,711.0,"12-02-2024, 10h"
60,tavin Alves,60,707.0,"12-02-2024, 10h"
61,Drolmon,61,707.0,"12-02-2024, 10h"
62,Dratles,62,701.0,"12-02-2024, 10h"
63,Sheath,63,697.0,"12-02-2024, 10h"
64,SkeletonStalker,64,697.0,"12-02-2024, 10h"
65,TravelerDante,65,696.0,"12-02-2024, 10h"
66,EndeavoringIvy,66,691.0,"12-02-2024, 10h"
67,LittleBits,67,689.0,"12-02-2024, 10h"
68,Praiyi,68,681.0,"12-02-2024, 10h"
69,Yrebellion,69,678.0,"12-02-2024, 10h"
70,理塘智多星,70,676.0,"12-02-2024, 10h"
